Transaction ID,Date,Time,Issue Type,Description,Amount,Sender UPI ID,Receiver UPI ID,Bank (Sender),Bank (Receiver),Resolution
TXN921113,2024-12-25,16:41:17,Insufficient Funds,Sender account balance is insufficient,3226.83,@user7137,@user1487,Axis Bank,Axis Bank,Transaction declined
TXN606229,2024-09-08,21:06:07,Network Error,Connectivity issue during transaction,2873.24,@user3398,@user5068,Bank of Baroda,HDFC Bank,Transaction pending - retry later
TXN690663,2024-03-21,05:03:37,Invalid UPI ID,Entered incorrect receiver UPI ID,4947.33,@user3649,@user5532,State Bank of India,State Bank of India,Transaction failed
TXN574123,2024-03-22,21:06:08,Insufficient Funds,Sender account balance is insufficient,2592.84,@user8394,@user6270,Kotak Mahindra Bank,Axis Bank,Transaction declined
TXN601644,2024-01-06,00:37:57,Beneficiary Not Found,Receiver UPI ID is not registered,1624.08,@user8430,@user5144,Yes Bank,HDFC Bank,Transaction failed
TXN748333,2024-10-28,00:48:18,Daily Limit Reached,Sender has exceeded daily transaction limit,3602.85,@user2853,@user7973,Axis Bank,State Bank of India,Transaction declined - reduce amount or try next day
TXN579350,2024-08-17,11:10:51,Transaction Timed Out,Transaction exceeded the time limit,1661.83,@user3195,@user1611,Yes Bank,ICICI Bank,Transaction pending - retry later
TXN965880,2024-04-10,03:58:48,Server Error,Technical issue on UPI server side,3525.28,@user2770,@user4133,HDFC Bank,SBI,Transaction on hold - contact bank
TXN793953,2024-05-26,10:02:10,Insufficient Funds,Sender account balance is insufficient,4499.41,@user6899,@user4876,ICICI Bank,ICICI Bank,Transaction declined
TXN486211,2024-10-16,09:39:30,Network Error,Connectivity issue during transaction,3967.67,@user7802,@user5634,HDFC Bank,ICICI Bank,Transaction pending - retry later
TXN323780,2024-03-26,12:04:18,Incorrect MPIN,Invalid MPIN entered by the sender,1685.51,@user3813,@user6133,Kotak Mahindra Bank,State Bank of India,Transaction failed - incorrect MPIN
TXN651683,2024-04-10,11:04:09,Insufficient Funds,Sender account balance is insufficient,3259.94,@user6258,@user9860,SBI,State Bank of India,Transaction declined
TXN736184,2024-06-06,13:13:24,Server Error,Technical issue on UPI server side,2215.11,@user3897,@user3270,Bank of Baroda,Bank of Baroda,Transaction on hold - contact bank
TXN326136,2024-10-14,07:57:21,Invalid UPI ID,Entered incorrect receiver UPI ID,778.46,@user9686,@user4532,Bank of Baroda,Bank of Baroda,Transaction failed
TXN603081,2024-01-21,16:56:42,Transaction Timed Out,Transaction exceeded the time limit,4554.96,@user5311,@user8414,Yes Bank,Bank of Baroda,Transaction pending - retry later
TXN244954,2024-09-13,17:13:43,Beneficiary Not Found,Receiver UPI ID is not registered,1010.46,@user5487,@user8842,Yes Bank,ICICI Bank,Transaction failed
TXN170636,2024-05-08,08:14:32,Daily Limit Reached,Sender has exceeded daily transaction limit,1190.29,@user1430,@user7672,SBI,Kotak Mahindra Bank,Transaction declined - reduce amount or try next day
TXN409467,2024-11-09,13:53:35,Transaction Timed Out,Transaction exceeded the time limit,620.54,@user5525,@user1124,Bank of Baroda,Bank of Baroda,Transaction pending - retry later
TXN265947,2024-10-25,17:00:28,Insufficient Funds,Sender account balance is insufficient,2442.05,@user7915,@user6934,HDFC Bank,Axis Bank,Transaction declined
TXN167505,2024-08-21,00:37:07,Insufficient Funds,Sender account balance is insufficient,2471.05,@user8746,@user9951,Yes Bank,Kotak Mahindra Bank,Transaction declined
TXN732487,2024-12-23,12:19:46,Network Error,Connectivity issue during transaction,3693.69,@user9552,@user9406,Kotak Mahindra Bank,Axis Bank,Transaction pending - retry later
TXN178355,2024-11-10,15:23:34,Incorrect MPIN,Invalid MPIN entered by the sender,2220.98,@user5119,@user1472,Axis Bank,Yes Bank,Transaction failed - incorrect MPIN
TXN388833,2024-11-07,12:39:41,Invalid UPI ID,Entered incorrect receiver UPI ID,644.47,@user7080,@user9455,Bank of Baroda,Bank of Baroda,Transaction failed
TXN895188,2024-03-12,02:26:07,Server Error,Technical issue on UPI server side,4098.32,@user6249,@user5628,State Bank of India,ICICI Bank,Transaction on hold - contact bank
TXN573405,2024-10-23,11:23:58,Daily Limit Reached,Sender has exceeded daily transaction limit,1275.52,@user4162,@user8861,State Bank of India,Axis Bank,Transaction declined - reduce amount or try next day
TXN401090,2024-02-02,11:10:32,Daily Limit Reached,Sender has exceeded daily transaction limit,1823.49,@user7777,@user4971,HDFC Bank,State Bank of India,Transaction declined - reduce amount or try next day
TXN150206,2024-04-28,14:16:07,Transaction Timed Out,Transaction exceeded the time limit,877.33,@user8845,@user2252,Kotak Mahindra Bank,SBI,Transaction pending - retry later
TXN582372,2024-09-01,19:25:00,Server Error,Technical issue on UPI server side,3490.1,@user1810,@user2226,Bank of Baroda,ICICI Bank,Transaction on hold - contact bank
TXN915459,2024-03-21,16:51:30,Invalid UPI ID,Entered incorrect receiver UPI ID,1467.24,@user4130,@user3095,State Bank of India,State Bank of India,Transaction failed
TXN992753,2024-03-24,08:09:27,Daily Limit Reached,Sender has exceeded daily transaction limit,4604.78,@user5019,@user3956,Yes Bank,ICICI Bank,Transaction declined - reduce amount or try next day
TXN640962,2024-05-15,13:47:50,Invalid UPI ID,Entered incorrect receiver UPI ID,1906.98,@user4921,@user9131,ICICI Bank,Axis Bank,Transaction failed
TXN207723,2024-09-08,10:50:46,Daily Limit Reached,Sender has exceeded daily transaction limit,2699.92,@user2872,@user3851,SBI,HDFC Bank,Transaction declined - reduce amount or try next day
TXN227629,2024-01-14,23:12:35,Insufficient Funds,Sender account balance is insufficient,3829.02,@user3044,@user9483,State Bank of India,Kotak Mahindra Bank,Transaction declined
TXN717238,2024-11-27,13:13:30,Transaction Timed Out,Transaction exceeded the time limit,207.81,@user3758,@user9145,State Bank of India,State Bank of India,Transaction pending - retry later
TXN762928,2024-03-04,00:01:42,Incorrect MPIN,Invalid MPIN entered by the sender,2745.38,@user9694,@user3794,Yes Bank,Axis Bank,Transaction failed - incorrect MPIN
TXN548811,2024-07-25,10:26:53,Invalid UPI ID,Entered incorrect receiver UPI ID,4317.65,@user3375,@user9925,Bank of Baroda,State Bank of India,Transaction failed
TXN311083,2024-09-18,23:23:55,Daily Limit Reached,Sender has exceeded daily transaction limit,2173.51,@user2160,@user8471,Yes Bank,Bank of Baroda,Transaction declined - reduce amount or try next day
TXN321071,2024-05-16,07:33:15,Incorrect MPIN,Invalid MPIN entered by the sender,889.16,@user2734,@user5844,ICICI Bank,State Bank of India,Transaction failed - incorrect MPIN
TXN932311,2024-11-27,08:44:50,Transaction Timed Out,Transaction exceeded the time limit,533.01,@user9861,@user4755,State Bank of India,HDFC Bank,Transaction pending - retry later
TXN843029,2024-12-04,01:06:05,Server Error,Technical issue on UPI server side,2315.22,@user9096,@user1569,Bank of Baroda,Kotak Mahindra Bank,Transaction on hold - contact bank
TXN159628,2024-11-20,16:20:40,Network Error,Connectivity issue during transaction,2288.25,@user7225,@user4040,ICICI Bank,Bank of Baroda,Transaction pending - retry later
TXN365968,2024-05-13,23:58:18,Transaction Timed Out,Transaction exceeded the time limit,3032.85,@user8642,@user7546,ICICI Bank,Bank of Baroda,Transaction pending - retry later
TXN602270,2024-11-10,07:32:57,Network Error,Connectivity issue during transaction,2047.41,@user3097,@user6867,State Bank of India,Axis Bank,Transaction pending - retry later
TXN900580,2024-09-09,10:05:34,Insufficient Funds,Sender account balance is insufficient,2522.02,@user4930,@user9430,ICICI Bank,Axis Bank,Transaction declined
TXN378400,2024-04-18,21:59:12,Insufficient Funds,Sender account balance is insufficient,4099.51,@user5429,@user2747,State Bank of India,State Bank of India,Transaction declined
TXN730008,2024-12-12,14:33:10,Beneficiary Not Found,Receiver UPI ID is not registered,3731.75,@user2457,@user8680,Yes Bank,Bank of Baroda,Transaction failed
TXN828538,2024-04-28,01:42:16,Server Error,Technical issue on UPI server side,2273.32,@user3243,@user2468,Bank of Baroda,Bank of Baroda,Transaction on hold - contact bank
TXN149116,2024-04-19,20:27:44,Invalid UPI ID,Entered incorrect receiver UPI ID,619.09,@user7704,@user3407,ICICI Bank,SBI,Transaction failed
TXN366487,2024-01-28,12:47:55,Beneficiary Not Found,Receiver UPI ID is not registered,2843.95,@user3765,@user1641,SBI,HDFC Bank,Transaction failed
TXN925416,2024-06-22,20:23:25,Server Error,Technical issue on UPI server side,189.77,@user3076,@user5127,Kotak Mahindra Bank,Bank of Baroda,Transaction on hold - contact bank
TXN200467,2024-04-21,02:38:59,Beneficiary Not Found,Receiver UPI ID is not registered,3323.88,@user9614,@user6064,SBI,State Bank of India,Transaction failed
TXN841298,2024-08-03,22:31:15,Invalid UPI ID,Entered incorrect receiver UPI ID,3332.02,@user2407,@user6839,Yes Bank,State Bank of India,Transaction failed
TXN209486,2024-04-24,18:37:16,Transaction Timed Out,Transaction exceeded the time limit,2022.27,@user9350,@user5563,Bank of Baroda,SBI,Transaction pending - retry later
TXN520260,2024-03-03,22:40:02,Incorrect MPIN,Invalid MPIN entered by the sender,794.21,@user1503,@user8093,ICICI Bank,State Bank of India,Transaction failed - incorrect MPIN
TXN921916,2024-12-14,18:52:26,Insufficient Funds,Sender account balance is insufficient,974.59,@user8242,@user4997,Kotak Mahindra Bank,HDFC Bank,Transaction declined
TXN439244,2024-08-28,02:44:05,Invalid UPI ID,Entered incorrect receiver UPI ID,3587.17,@user4745,@user6110,SBI,SBI,Transaction failed
TXN821149,2024-01-09,15:46:08,Invalid UPI ID,Entered incorrect receiver UPI ID,3985.35,@user4164,@user9490,ICICI Bank,HDFC Bank,Transaction failed
TXN694099,2024-12-07,14:08:36,Insufficient Funds,Sender account balance is insufficient,2788.92,@user7443,@user5088,Axis Bank,Axis Bank,Transaction declined
TXN784593,2024-02-28,01:33:59,Insufficient Funds,Sender account balance is insufficient,4290.65,@user5565,@user5299,State Bank of India,HDFC Bank,Transaction declined
TXN123083,2024-07-30,18:43:17,Server Error,Technical issue on UPI server side,3935.1,@user3120,@user2336,Kotak Mahindra Bank,Kotak Mahindra Bank,Transaction on hold - contact bank
TXN506763,2024-04-10,12:11:28,Transaction Timed Out,Transaction exceeded the time limit,451.61,@user3567,@user6757,Kotak Mahindra Bank,Yes Bank,Transaction pending - retry later
TXN814617,2024-04-08,01:31:08,Transaction Timed Out,Transaction exceeded the time limit,3271.89,@user2083,@user3202,Bank of Baroda,Yes Bank,Transaction pending - retry later
TXN696291,2024-07-13,03:45:18,Network Error,Connectivity issue during transaction,4465.62,@user6832,@user7402,ICICI Bank,Kotak Mahindra Bank,Transaction pending - retry later
TXN272641,2024-11-13,13:41:46,Invalid UPI ID,Entered incorrect receiver UPI ID,4508.15,@user4758,@user4085,Axis Bank,State Bank of India,Transaction failed
TXN317790,2024-04-24,00:01:38,Daily Limit Reached,Sender has exceeded daily transaction limit,2946.56,@user2859,@user6422,SBI,Kotak Mahindra Bank,Transaction declined - reduce amount or try next day
TXN403540,2024-04-24,08:08:35,Insufficient Funds,Sender account balance is insufficient,4523.43,@user3016,@user9353,Kotak Mahindra Bank,Yes Bank,Transaction declined
TXN961334,2024-12-22,05:37:32,Server Error,Technical issue on UPI server side,71.53,@user1831,@user9038,Axis Bank,Axis Bank,Transaction on hold - contact bank
TXN791877,2024-09-15,03:47:49,Insufficient Funds,Sender account balance is insufficient,4931.78,@user5686,@user9698,SBI,HDFC Bank,Transaction declined
TXN337034,2024-11-16,07:49:11,Invalid UPI ID,Entered incorrect receiver UPI ID,4040.43,@user6870,@user4442,Bank of Baroda,HDFC Bank,Transaction failed
TXN744663,2024-07-11,21:58:18,Invalid UPI ID,Entered incorrect receiver UPI ID,869.72,@user8652,@user9733,Yes Bank,Bank of Baroda,Transaction failed
TXN814111,2024-07-02,15:17:04,Network Error,Connectivity issue during transaction,2679.02,@user9524,@user2389,ICICI Bank,HDFC Bank,Transaction pending - retry later
TXN945607,2024-05-14,18:33:17,Insufficient Funds,Sender account balance is insufficient,3102.31,@user6523,@user7025,HDFC Bank,HDFC Bank,Transaction declined
TXN948509,2024-02-22,20:31:21,Invalid UPI ID,Entered incorrect receiver UPI ID,3152.36,@user1213,@user6473,Yes Bank,ICICI Bank,Transaction failed
TXN370756,2024-09-26,17:01:42,Insufficient Funds,Sender account balance is insufficient,2942.78,@user5481,@user4324,Kotak Mahindra Bank,HDFC Bank,Transaction declined
TXN656813,2024-12-24,15:58:05,Daily Limit Reached,Sender has exceeded daily transaction limit,3758.87,@user5899,@user4961,ICICI Bank,Bank of Baroda,Transaction declined - reduce amount or try next day
TXN793820,2024-10-07,20:53:26,Transaction Timed Out,Transaction exceeded the time limit,1763.38,@user6793,@user5291,Yes Bank,Kotak Mahindra Bank,Transaction pending - retry later
TXN434095,2024-08-12,05:45:27,Server Error,Technical issue on UPI server side,4450.68,@user2968,@user4195,HDFC Bank,SBI,Transaction on hold - contact bank
TXN886521,2024-10-13,00:09:00,Beneficiary Not Found,Receiver UPI ID is not registered,580.23,@user6505,@user9588,HDFC Bank,State Bank of India,Transaction failed
TXN217527,2024-11-20,03:44:50,Network Error,Connectivity issue during transaction,1483.54,@user8164,@user4685,ICICI Bank,Axis Bank,Transaction pending - retry later
TXN167175,2024-12-05,17:15:41,Daily Limit Reached,Sender has exceeded daily transaction limit,4470.93,@user2322,@user1019,State Bank of India,Yes Bank,Transaction declined - reduce amount or try next day
TXN937047,2024-10-05,18:20:07,Server Error,Technical issue on UPI server side,4626.33,@user5419,@user1212,Axis Bank,ICICI Bank,Transaction on hold - contact bank
TXN647857,2024-10-25,01:03:42,Invalid UPI ID,Entered incorrect receiver UPI ID,2915.01,@user5013,@user3120,Bank of Baroda,HDFC Bank,Transaction failed
TXN177293,2024-02-05,18:46:03,Beneficiary Not Found,Receiver UPI ID is not registered,2316.19,@user3775,@user8612,State Bank of India,State Bank of India,Transaction failed
TXN349981,2024-12-21,03:50:48,Incorrect MPIN,Invalid MPIN entered by the sender,367.66,@user3807,@user6957,State Bank of India,Bank of Baroda,Transaction failed - incorrect MPIN
TXN353486,2024-01-08,08:25:21,Incorrect MPIN,Invalid MPIN entered by the sender,1823.05,@user1386,@user3937,Kotak Mahindra Bank,HDFC Bank,Transaction failed - incorrect MPIN
TXN869688,2024-07-02,09:06:06,Invalid UPI ID,Entered incorrect receiver UPI ID,1226.24,@user5137,@user1676,Yes Bank,State Bank of India,Transaction failed
TXN939563,2024-01-10,20:54:20,Insufficient Funds,Sender account balance is insufficient,692.3,@user7336,@user7918,Kotak Mahindra Bank,SBI,Transaction declined
TXN682167,2024-12-09,09:57:43,Daily Limit Reached,Sender has exceeded daily transaction limit,2413.39,@user7289,@user2902,State Bank of India,Axis Bank,Transaction declined - reduce amount or try next day
TXN481149,2024-10-09,09:23:10,Transaction Timed Out,Transaction exceeded the time limit,4175.33,@user2777,@user5406,ICICI Bank,HDFC Bank,Transaction pending - retry later
TXN412384,2024-02-12,15:46:37,Insufficient Funds,Sender account balance is insufficient,3063.6,@user3291,@user2313,Axis Bank,Yes Bank,Transaction declined
TXN683326,2024-05-16,22:07:24,Transaction Timed Out,Transaction exceeded the time limit,519.47,@user1624,@user1664,SBI,Bank of Baroda,Transaction pending - retry later
TXN180446,2024-10-06,20:06:34,Invalid UPI ID,Entered incorrect receiver UPI ID,1344.67,@user4911,@user8140,Axis Bank,SBI,Transaction failed
TXN949291,2024-02-15,13:37:12,Beneficiary Not Found,Receiver UPI ID is not registered,1086.16,@user8836,@user7034,Axis Bank,HDFC Bank,Transaction failed
TXN133465,2024-04-24,11:42:09,Network Error,Connectivity issue during transaction,3479.95,@user4045,@user5484,Yes Bank,Yes Bank,Transaction pending - retry later
TXN526198,2024-04-22,11:57:31,Daily Limit Reached,Sender has exceeded daily transaction limit,3779.49,@user7863,@user3338,HDFC Bank,Axis Bank,Transaction declined - reduce amount or try next day
TXN919383,2024-11-24,02:25:33,Server Error,Technical issue on UPI server side,1441.7,@user2600,@user8223,Bank of Baroda,HDFC Bank,Transaction on hold - contact bank
TXN322998,2024-03-18,08:02:37,Daily Limit Reached,Sender has exceeded daily transaction limit,4807.53,@user5215,@user3351,HDFC Bank,Bank of Baroda,Transaction declined - reduce amount or try next day
TXN960650,2024-01-07,07:12:27,Incorrect MPIN,Invalid MPIN entered by the sender,4447.47,@user7677,@user5509,ICICI Bank,ICICI Bank,Transaction failed - incorrect MPIN
